Daerah Rasmi (Sabah),Zon (Rujukan Gambar),Nama Kedai,Alamat Tepat,No Telefon
PUTATAN,PUTATAN,THOYIBAN,"Lot 21, GF, Putatan Square, 88200 Putatan",088-731 645
PUTATAN,PUTATAN,VILLAGE MART,"Bandar Putatan, 88200 Putatan",
PUTATAN,PUTATAN,SAMIULLAH ENT S/B KETIAU,,
PUTATAN,PUTATAN,COOPMART PUTATAN,"Koperasi Kakitangan Kerajaan Sabah, Pekan Putatan",
PUTATAN,PUTATAN,AISYAH MINI MART PUTATAN,,
PUTATAN,PUTATAN,WALEED MINI MARKET 2,"Pekan Putatan, 88200 Putatan",010-931 3341
PUTATAN,PUTATAN,BIF PUTATAN,"Blok B, Lot 5, GF, Putatan Station, 88200 Putatan",016-830 5001
PAPAR,KINARUT,RESTU FRESHMART,"Lok Kawi Point, Kinarut, 88200 Papar",010-930 2241
PAPAR,KINARUT,KEDAI RUNCIT J.M MOOK,,
PAPAR,KINARUT,KEDAI RUNCIT KOSUBONG JALAN MANGGIS,,
PAPAR,KINARUT,KEDAI RUNCIT AVE JALAN MANGGIS,,
PAPAR,KINARUT,KEDAI RUNCIT AG JALAN MANGGIS,,
PAPAR,KINARUT,KAPAKUAN ENT,,
PAPAR,KINARUT,FATMA MINI MARKET,,
PAPAR,KINARUT,JOY FRESHMART SABINDO,"Pekan Sabindo, Kinarut, 88200 Papar",011-3162 4434
PAPAR,KINARUT,ALEYSHA SABINDO,,
PAPAR,KINARUT,LIMAUAN STORE,,
PAPAR,KINARUT,77 SEGAR &HOMEMART LIMAUAN,"Kg. Limauan, Kinarut, 88200 Papar",014-350 7711
PAPAR,KINARUT,JIWA MART GLOXINA,"Taman Gloxina, Kinarut, 88200 Papar",016-848 1414
PAPAR,KINARUT,HUL ENT,,
PAPAR,KINARUT,FATIMAH MINI MARKET KINARUT,,
PAPAR,KINARUT,22 L HAIBULLAH PALM SQUARE,"Palm Square Commercial Centre, Kinarut",088-752 501
PAPAR,KINARUT,KEDAI RUNCIT HABIB LIMAUAN,,
PAPAR,KINARUT,KEDAI RUNCIT BUANG SAYANG,,
PAPAR,KINARUT,NURHIDAYAH LIMAUAN,,
PAPAR,KINARUT,HASHIM MINI MARKET JALAN MANGGIS,,
PAPAR,KINARUT,ALIBABA MINI MARKET JALAN MANGGIS,,
TUARAN,TUARAN,RIZQUANA MINI MART,"Pekan Tuaran (Depan Masjid), 89150 Tuaran",013-871 1614
TUARAN,TUARAN,PEMBEKAL RUNCIT BISMILLAH,"Jalan Teck Guan, Pekan Tuaran, 89150 Tuaran",
TUARAN,TUARAN,LAIAL ENT,,
TUARAN,TUARAN,MARYAM ENT,,
TUARAN,TUARAN,ORHAN & LEE MINI MARKET,,
TUARAN,TUARAN,JAYA SUPERSTORE,"Lot 1-4, GF, Tuaran Sentral, 89150 Tuaran",088-787 501
TUARAN,TUARAN,HARTAWAN MUDA ENT,,
TUARAN,TUARAN,FRESHMART DMKT,"Kedai Desa MKTM, Pekan Tuaran",
TUARAN,TUARAN,SINARJAYA GROCER,"Lot 3, GF, Berungis Commercial Centre, Tuaran",088-788 920
TUARAN,TUARAN,JALAL ENT GAYANG,"Kampung Gayang, Jln Sulaman, 89150 Tuaran",016-813 6304
TUARAN,TAMPARULI,AV ENT TAMPARULI,"Pekan Tamparuli, 89250 Tamparuli",019-862 3968
TUARAN,TAMPARULI,MUM'S ENT TAMPARULI,"Lot kedai berhampiran Shell Tamparuli, 89250 Tamparuli",
TUARAN,TAMPARULI,WELLMIN KIULU BORONG TAMPARULI,"Pekan Kiulu, 89250 Tamparuli",013-870 5410
TUARAN,TAMPARULI,KOPERASI PUKAK KIULU TAMPARULI,"Kg. Pukak, Kiulu, 89250 Tamparuli",088-739 501
TUARAN,TAMPARULI,ORHAN MINI MARKET TAMPARULI,,
TUARAN,TAMPARULI,JAS MINI MARKET F/M,,
TUARAN,TAMPARULI,KR WAWASAN KIULU,,
TUARAN,TAMPARULI,COOPMART KIULU,"Bangunan Koperasi Pekan Kiulu, 89250 Tamparuli",088-739 503
