id,name,code,phone,address,town,is_active,district,state,geo_group,area,branch,current_balance
CUST-KB-0013,"COTO MAKASSAR SANDAKAN",KB0013,601126249382,"LOT GA-43 BLOK A, SEJATI WALK, SANDAKAN, 90000",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0014,"HABIBAH MART",KB0014,,"KG PERPADUAN SKIM BAGAHAK, LAHAD DATU, 91100","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0015,"KEDAI MAWAR SDN BHD",KB0015,60138099300,"MDLD 6627, LOT 44, BATU 1 1/2, JALAN SEGAMA, LAHAD DATU, 91100","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0016,"KEDAI NUR",KB0016,60148514588,"KG GOMANTONG JAYA, KOTA KINABATANGAN",KOTA KINABATANGAN,true,KOTA KINABATANGAN,Sabah,East Coast Sabah,KOTA KINABATANGAN,Kinabatangan,0
CUST-KB-0017,"NADINA STORE",KB0017,60128442544,"PEKAN TONGOD, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0018,"SARI JAYA COLD STORAGE",KB0018,60138923300,"MDLD 3288, LOT 3, BATU 1, JALAN SEGAMA, LAHAD DATU",LAHAD DATU,true,LAHAD DATU,Sabah,East Coast Sabah,LAHAD DATU,Kinabatangan,0
CUST-KB-0019,"SYARIKAT PERNIAGAAN GOMANTONG JAYA",KB0019,,"BATU 4, JALAN SUKAU, KOTA KINABATANGAN, 90200","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0020,"MARWAN TRADING",KB0020,60132487875,"KG RANCANGAN NANGOH, BELURAN, 90107",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0021,"MEGA RIDWAN COLD STORAGE SDN BHD",KB0021,,"LOT 22, PASAR RAKYAT, LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0022,"MINI MARKET MUNIR BACHA",KB0022,60138862544,"LOT C 7, BANGUNAN SEDCO, KOTA KINABATANGAN, 90200","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0023,"MOKTAR TRADING",KB0023,601125211557,"PASAR UMUM, WDT 72, KUNAK, 91209",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0024,"MUHAMMAD ENTERPRISE",KB0024,60145558990,"JALAN KOTA KINABALU - SANDAKAN BATU 78 TELUPID",TELUPID,true,TELUPID,Sabah,East Coast Sabah,TELUPID,Kinabatangan,0
CUST-KB-0025,"MUNIR BACHA ENTERPRISE SDN BHD",KB0025,60178323382,"KAMPUNG BUKIT GARAM WDT 180, JAYA BARU, KINABATANGAN, 90200",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0026,"MUQARAB TRADING",KB0026,60142833866,"KG GAMBARON, TELUPID, 89320",TELUPID,true,TELUPID,Sabah,East Coast Sabah,TELUPID,Kinabatangan,0
CUST-KB-0027,"MUSTAK TRADING",KB0027,,"LOT 18 BDC GODOWIN AREA, JALAN KASTAM BARU, LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0028,"MYSHOP KUNAK",KB0028,,"LOT 37, GROUND FLOOR, KUNAK TOWN, BANDAR SAPANG KUNAK",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0029,"NADIA ENTERPRISE",KB0029,60195949946,"LOT II (A) 89300 TELUPID TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0030,"NADIRA ENTERPRISE",KB0030,6019594994,"SEDCO PEKAN TONGOD, LOT 2, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0031,"SYARIKAT USAHA MAJU JAYA",KB0031,60149891897,"KAMPUNG SUKAU, WDT 198 SUKAU, KOTA KINABATANGAN, 90200","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0032,"TAJUDDIN ENTERPRISE",KB0032,60145379635,"KG LINAYUKAN, DAERAH TONGOD, SANDAKAN, 90200",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0033,"TAMAN RIMBA",KB0033,,"SANDAKAN, 90000",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0034,"THARWA MARKET",KB0034,,"LAHAD DATU, 91100","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0035,"TOKO LUANG MANIS",KB0035,60109312287,"LADANG LUANG MANIS ESTATE, BELURAN, 90107",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0036,"TOKO SG SAPI",KB0036,60109312287,"LADANG SG SAPI ESTATE, BELURAN, 90107",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0037,"TWO STAR ENTERPRISE",KB0037,,"KG RANCANGAN NANGOH, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0038,"WARUNG ATUR JADI",KB0038,60109377645,"BATU 26, SANDAKAN, 90000",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0039,"WARUNG MAKASSAR",KB0039,,SANDAKAN,SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0040,"WARUNG POLEWALI",KB0040,,"BATU 32, CHECK POINT SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0041,"WARUNG SRI MURNI",KB0041,,"PEKAN TELUPID, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0042,"WIDADI TRADING",KB0042,60102158909,"KG TINAGIAN, TUNGKU, LAHAD DATU, 91150","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0043,"ZONIA TRADING",KB0043,60146398445,"KG BERJAYA 1, BATU 4, KOTA KINABATANGAN, 90200","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0044,"ZUHNUN 77 MINI MART",KB0044,,"TL. 117502753, MDLD 0176, JALAN KEMBOJA, LAHAD DATU, 91107","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0045,"ZYLACMAR TRADING",KB0045,60172210122,"KAMPUNG JAWA, JALAN KG BETIK, LAHAD DATU, 91100","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0046,"AL-AMIN STORE",KB0046,60135543321,"KG BUKIT GARAM, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0047,"AMIRAH MINI MARKET",KB0047,60198872231,"LOT 5, PEKAN BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0048,"A-Z TRADING",KB0048,60145567789,"BATU 12, JALAN LABUK, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0049,"BINTANG JAYA",KB0049,60112345567,"KG PARIS 1, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0050,"CINTA SAYANG MART",KB0050,60128891122,"PEKAN KUNAK, KUNAK",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0051,"D'KOTA STATION",KB0051,60167789900,"PEKAN KOTA KINABATANGAN","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0052,"EKA JAYA",KB0052,60134456677,"BATU 3, JALAN SEGAMA, LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0053,"FAZILAH ENTERPRISE",KB0053,60190012233,"KG NANGOH, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0054,"G-MART SUPERMARKET",KB0054,60111223344,"BANDAR LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0055,"HIDAYAH TRADING",KB0055,60145561122,"KG SIMPANG TONGOD, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0056,"IKHWAN MART",KB0056,60105544332,"KG GOMANTONG, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0057,"JAYA BARU MINI MARKET",KB0057,60128877665,"PEKAN JAYA BARU, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0058,"KEDAI RUNCIT KAMPUNG",KB0058,,"KG SRI DARUN, LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0059,"LUCKY TRADING",KB0059,60143322110,"BATU 8, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0060,"MURNI MART",KB0060,60192233445,"PEKAN TONGOD, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0061,"NAJIB STORE",KB0061,60145566778,"KG PARIS 3, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0062,"OMAR TRADING",KB0062,60134455667,"BATU 1, JALAN SEGAMA, LAHAD DATU",LAHAD DATU,true,LAHAD DATU,Sabah,East Coast Sabah,LAHAD DATU,Kinabatangan,0
CUST-KB-0063,"PUTRA MINI MARKET",KB0063,60167788990,"PEKAN BELURAN, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0064,"QURRATU AINI STORE",KB0064,60112233445,"KG BUKIT GARAM, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0065,"REZEKI MART",KB0065,60128899001,"PEKAN KUNAK, KUNAK",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0066,"SAYANG TRADING",KB0066,60145566112,"BATU 32, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0067,"TENANG MART",KB0067,60138844332,"KG SIMPANG ENTILIBON, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0068,"UTAMA STORE",KB0068,60124455667,"PEKAN KOTA KINABATANGAN","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0069,"V-MART",KB0069,60167733445,"BANDAR LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0070,"WIRA TRADING",KB0070,60145567711,"KG NANGOH, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0071,"X-PRESS MART",KB0071,60128899112,"BATU 4, JALAN SUKAU",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0072,"YAKIN MART",KB0072,60135544667,"KG PARIS 2, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0073,"ZAIDAH STORE",KB0073,60167733112,"PEKAN KUNAK, KUNAK",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0074,"AMANAH MART",KB0074,60142233445,"KG BUKIT GARAM, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0075,"BAHAGIA STORE",KB0075,60128877112,"BATU 7, JALAN AIRPORT, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0076,"CERIA MINI MARKET",KB0076,60135566778,"PEKAN TONGOD, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0077,"DAMAI STORE",KB0077,60167722112,"KG PERPADUAN, LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0078,"ELIT MART",KB0078,60145566889,"PEKAN BELURAN, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0079,"FAJAR TRADING",KB0079,60128844331,"BATU 12, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0080,"GEMILANG MART",KB0080,60135577661,"PEKAN KOTA KINABATANGAN","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0081,"HARAPAN STORE",KB0081,60167744332,"KG SIMPANG TONGOD, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0082,"INDAH MART",KB0082,60145577112,"PEKAN KUNAK, KUNAK",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0083,"JUARA TRADING",KB0083,60128811223,"KG BUKIT GARAM, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0084,"KASIH STORE",KB0084,60135511332,"BATU 3, JALAN SEGAMA, LAHAD DATU",LAHAD DATU,true,LAHAD DATU,Sabah,East Coast Sabah,LAHAD DATU,Kinabatangan,0
CUST-KB-0085,"LESTARI MART",KB0085,60167711556,"PEKAN BELURAN, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0086,"MAKMUR TRADING",KB0086,60145511667,"BATU 26, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0087,"NUSA STORE",KB0087,60128822334,"KG PARIS 1, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0088,"OPTIMIS MART",KB0088,60135522445,"PEKAN TONGOD, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0089,"PERDANA STORE",KB0089,60167722667,"BANDAR LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0090,"QADRI MART",KB0090,60145522778,"KG GOMANTONG, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0091,"RAUDHAH STORE",KB0091,60128833445,"PEKAN KUNAK, KUNAK",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0092,"SENTOSA MART",KB0092,60135533556,"BATU 8, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0093,"TEGUH TRADING",KB0093,60167733667,"KG SIMPANG ENTILIBON, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0094,"UNGGUL STORE",KB0094,60145533889,"PEKAN KOTA KINABATANGAN","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0095,"VIVA MART",KB0095,60128844556,"PEKAN BELURAN, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0096,"WAWASAN STORE",KB0096,60135544667,"BATU 12, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0097,"XARA MART",KB0097,60167744778,"KG BUKIT GARAM, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0098,"YUMMY STORE",KB0098,60145544990,"PEKAN KUNAK, KUNAK",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0099,"ZEN MART",KB0099,60128855667,"BATU 32, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0100,"ABADI STORE",KB0100,60135555778,"KG PARIS 3, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0101,"ADAM MINI MARKET",KB0101,601122334455,"KG SIMPANG SAPI NANGOH, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0102,"BAHTERA MART",KB0102,601344556677,"PEKAN KOTA KINABATANGAN","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0103,"CAHAYA STORE",KB0103,601455667788,"BATU 8, JALAN LABUK, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0104,"DARUSSALAM MART",KB0104,,"KG BUKIT GARAM, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0105,"EMBUN TRADING",KB0105,601988776655,"PEKAN TONGOD, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0106,"FALAH MINI MARKET",KB0106,601233445566,"KG PARIS 2, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0107,"GEMA STORE",KB0107,601477889900,"BANDAR LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0108,"HASANAH MART",KB0108,601155664433,"PEKAN KUNAK, KUNAK",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0109,"IKRAM TRADING",KB0109,,"BATU 32, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0110,"JALIL STORE",KB0110,601322114455,"KG NANGOH, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0111,"KHALIFAH MART",KB0111,601455223366,"KG GOMANTONG, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0112,"LEMBAH STORE",KB0112,601288775544,"PEKAN TELUPID, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0113,"MAMU STORE",KB0113,601344667788,"PEKAN KOTA KINABATANGAN","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0114,"NURUL MART",KB0114,601677881122,"BATU 7, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0115,"OMAR MART",KB0115,,"KG SIMPANG TONGOD, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0116,"PERMATA STORE",KB0116,601955443322,"KG BUKIT GARAM, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0117,"QASIH MART",KB0117,601466778899,"BATU 1, JALAN SEGAMA, LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0118,"RIZAL TRADING",KB0118,601233221100,"PEKAN KUNAK, KUNAK",KUNAK,true,KUNAK,Sabah,East Coast Sabah,KUNAK,Kinabatangan,0
CUST-KB-0119,"SAHABAT STORE",KB0119,601355442211,"BATU 12, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0120,"TASLIM MART",KB0120,601677332211,"KG PARIS 1, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0121,"UDA STORE",KB0121,,"PEKAN BELURAN, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0122,"V-TEC MART",KB0122,601455887711,"BATU 8, JALAN AIRPORT, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0123,"WANI STORE",KB0123,601288445511,"KG SIMPANG ENTILIBON, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0124,"YAKUB TRADING",KB0124,601355990011,"PEKAN KOTA KINABATANGAN","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0125,"ZUL MART",KB0125,601677112233,"BANDAR LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0126,"AN-NUR STORE",KB0126,,"KG BUKIT GARAM, KINABATANGAN",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0127,"BAKTI MART",KB0127,601455331122,"BATU 32, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0128,"CEKAL STORE",KB0128,601288224455,"PEKAN TONGOD, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0129,"DAHHLIA MART",KB0129,601355112244,"KG NANGOH, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0130,"ESOK MART",KB0130,,"PEKAN KOTA KINABATANGAN","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0131,"FAUZI STORE",KB0131,601677445566,"BATU 7, SANDAKAN",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0132,"GADING MART",KB0132,601455661133,"KG SIMPANG ENTILIBON, TONGOD",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
