id,name,code,phone,address,town,outstandingBalance,is_active,district,state,geo_group,area,branch,current_balance
CUST-KK-0023,RAZI BUNDUSAN,KK0023,014-672 5441,"Lot 12, GF, Bundusan Square, Penampang",KEPAYAN,0,true,PENAMPANG,Sabah,Sabah Mainland,KEPAYAN,Kota Kinabalu,0
CUST-KK-0024,SUMAYYAH BUNDUSAN,KK0024,011-1414 4353,"Pavilion Bundusan, Jalan Bundusan, Penampang",KEPAYAN,0,true,PENAMPANG,Sabah,Sabah Mainland,KEPAYAN,Kota Kinabalu,0
CUST-KK-0025,CKS FRESHMART COUNTRY HEIGHT,KK0025,088-723 331,"Country Heights Plaza, Jln Minintod, Penampang",INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0026,CUNY FRESHMART COUNTRY HEIGHT,KK0026,,,INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0027,M3 MART MOYOG,KK0027,,,INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0028,SERENA TRADING PENAMPANG,KK0028,,,INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0029,ARSYAD ENT MOYOG,KK0029,,,INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0030,D'AMANDA MOYOG,KK0030,,,INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0031,KEDAI RUNCIT 2'GET SUGUD,KK0031,,,INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0032,KJM MINI MARKET MOYOG,KK0032,,,INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0033,CS SUPERMARKET MOYOG,KK0033,088-712 112,"Jln Penampang-Tambunan, Moyog, Penampang",INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0034,EZZYMART PENAMPANG,KK0034,010-585 0707,"Bundusan Commercial Centre, Penampang",INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0035,IFFY ENT PENAMPANG,KK0035,,,INANAM,0,true,PENAMPANG,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0036,SWAT ENT,KK0036,,,PUTATAN,0,true,PUTATAN,Sabah,Sabah Mainland,PUTATAN,Kota Kinabalu,0
CUST-KK-0037,SHABNOOR HOMEMART,KK0037,088-773 234,"Lot 22, GF, Putatan Point, 88200 Putatan",PUTATAN,0,true,PUTATAN,Sabah,Sabah Mainland,PUTATAN,Kota Kinabalu,0
CUST-KK-0038,THOYIBAN,KK0038,088-731 645,"Lot 21, GF, Putatan Square, 88200 Putatan",PUTATAN,0,true,PUTATAN,Sabah,Sabah Mainland,PUTATAN,Kota Kinabalu,0
CUST-KK-0039,VILLAGE MART,KK0039,,"Bandar Putatan, 88200 Putatan",PUTATAN,0,true,PUTATAN,Sabah,Sabah Mainland,PUTATAN,Kota Kinabalu,0
CUST-KK-0040,SAMIULLAH ENT S/B KETIAU,KK0040,,,PUTATAN,0,true,PUTATAN,Sabah,Sabah Mainland,PUTATAN,Kota Kinabalu,0
CUST-KK-0041,COOPMART PUTATAN,KK0041,,"Koperasi Kakitangan Kerajaan Sabah, Pekan Putatan",PUTATAN,0,true,PUTATAN,Sabah,Sabah Mainland,PUTATAN,Kota Kinabalu,0
CUST-KK-0042,AISYAH MINI MART PUTATAN,KK0042,,,PUTATAN,0,true,PUTATAN,Sabah,Sabah Mainland,PUTATAN,Kota Kinabalu,0
CUST-KK-0043,WALEED MINI MARKET 2,KK0043,010-931 3341,"Pekan Putatan, 88200 Putatan",PUTATAN,0,true,PUTATAN,Sabah,Sabah Mainland,PUTATAN,Kota Kinabalu,0
CUST-KK-0044,BIF PUTATAN,KK0044,016-830 5001,"Blok B, Lot 5, GF, Putatan Station, 88200 Putatan",PUTATAN,0,true,PUTATAN,Sabah,Sabah Mainland,PUTATAN,Kota Kinabalu,0
CUST-KK-0045,RESTU FRESHMART,KK0045,010-930 2241,"Lok Kawi Point, Kinarut, 88200 Papar",KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0046,KEDAI RUNCIT J.M MOOK,KK0046,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0047,KEDAI RUNCIT KOSUBONG JALAN MANGGIS,KK0047,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0048,KEDAI RUNCIT AVE JALAN MANGGIS,KK0048,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0049,KEDAI RUNCIT AG JALAN MANGGIS,KK0049,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0050,KAPAKUAN ENT,KK0050,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0051,FATMA MINI MARKET,KK0051,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0052,JOY FRESHMART SABINDO,KK0052,011-3162 4434,"Pekan Sabindo, Kinarut, 88200 Papar",KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0053,ALEYSHA SABINDO,KK0053,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0054,LIMAUAN STORE,KK0054,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0055,77 SEGAR &HOMEMART LIMAUAN,KK0055,014-350 7711,"Kg. Limauan, Kinarut, 88200 Papar",KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0056,JIWA MART GLOXINA,KK0056,016-848 1414,"Taman Gloxina, Kinarut, 88200 Papar",KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0057,HUL ENT,KK0057,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0058,FATIMAH MINI MARKET KINARUT,KK0058,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0059,22 L HAIBULLAH PALM SQUARE,KK0059,088-752 501,"Palm Square Commercial Centre, Kinarut",KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0060,KEDAI RUNCIT HABIB LIMAUAN,KK0060,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0061,KEDAI RUNCIT BUANG SAYANG,KK0061,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0062,NURHIDAYAH LIMAUAN,KK0062,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0063,HASHIM MINI MARKET JALAN MANGGIS,KK0063,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0064,ALIBABA MINI MARKET JALAN MANGGIS,KK0064,,,KINARUT,0,true,PAPAR,Sabah,Sabah Mainland,KINARUT,Kota Kinabalu,0
CUST-KK-0065,RIZQUANA MINI MART,KK0065,013-871 1614,"Pekan Tuaran (Depan Masjid), 89150 Tuaran",TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0066,PEMBEKAL RUNCIT BISMILLAH,KK0066,,"Jalan Teck Guan, Pekan Tuaran, 89150 Tuaran",TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0067,LAIAL ENT,KK0067,,,TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0068,MARYAM ENT,KK0068,,,TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0069,ORHAN & LEE MINI MARKET,KK0069,,,TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0070,JAYA SUPERSTORE,KK0070,088-787 501,"Lot 1-4, GF, Tuaran Sentral, 89150 Tuaran",TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0071,HARTAWAN MUDA ENT,KK0071,,,TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0072,FRESHMART DMKT,KK0072,,"Kedai Desa MKTM, Pekan Tuaran",TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0073,SINARJAYA GROCER,KK0073,088-788 920,"Lot 3, GF, Berungis Commercial Centre, Tuaran",TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0074,JALAL ENT GAYANG,KK0074,016-813 6304,"Kampung Gayang, Jln Sulaman, 89150 Tuaran",TUARAN,0,true,TUARAN,Sabah,Sabah Mainland,TUARAN,Kota Kinabalu,0
CUST-KK-0075,AV ENT TAMPARULI,KK0075,019-862 3968,"Pekan Tamparuli, 89250 Tamparuli",TAMPARULI,0,true,TUARAN,Sabah,Sabah Mainland,TAMPARULI,Kota Kinabalu,0
CUST-KK-0076,MUM'S ENT TAMPARULI,KK0076,,"Lot kedai berhampiran Shell Tamparuli, 89250 Tamparuli",TAMPARULI,0,true,TUARAN,Sabah,Sabah Mainland,TAMPARULI,Kota Kinabalu,0
CUST-KK-0077,WELLMIN KIULU BORONG TAMPARULI,KK0077,013-870 5410,"Pekan Kiulu, 89250 Tamparuli",TAMPARULI,0,true,TUARAN,Sabah,Sabah Mainland,TAMPARULI,Kota Kinabalu,0
CUST-KK-0078,KOPERASI PUKAK KIULU TAMPARULI,KK0078,088-739 501,"Kg. Pukak, Kiulu, 89250 Tamparuli",TAMPARULI,0,true,TUARAN,Sabah,Sabah Mainland,TAMPARULI,Kota Kinabalu,0
CUST-KK-0079,ORHAN MINI MARKET TAMPARULI,KK0079,,,TAMPARULI,0,true,TUARAN,Sabah,Sabah Mainland,TAMPARULI,Kota Kinabalu,0
CUST-KK-0080,JAS MINI MARKET F/M,KK0080,,,TAMPARULI,0,true,TUARAN,Sabah,Sabah Mainland,TAMPARULI,Kota Kinabalu,0
CUST-KK-0081,KR WAWASAN KIULU,KK0081,,,TAMPARULI,0,true,TUARAN,Sabah,Sabah Mainland,TAMPARULI,Kota Kinabalu,0
CUST-KK-0082,COOPMART KIULU,KK0082,088-739 503,"Bangunan Koperasi Pekan Kiulu, 89250 Tamparuli",TAMPARULI,0,true,TUARAN,Sabah,Sabah Mainland,TAMPARULI,Kota Kinabalu,0
